#Pos	Phred	A->A	A->C	A->G	A->T	A->N	C->A	C->C	C->G	C->T	C->N	G->A	G->C	G->G	G->T	G->N	T->A	T->C	T->G	T->T	T->N
5	32	2761	2	1	1	0	1	2243	1	1	0	1	1	2212	2	0	1	1	1	2629	0
5	33	1736	1	1	1	0	1	1380	1	1	0	1	1	1485	2	0	1	1	1	1699	0
5	34	2005	1	1	1	0	1	1794	1	1	0	3	1	1575	1	0	1	1	1	1720	0
5	35	3175	1	1	1	0	1	2071	1	1	0	2	1	3894	4	0	2	1	1	3869	0
5	36	3937	1	1	2	0	1	2580	1	2	0	3	1	4548	3	0	1	1	1	4492	0
5	37	3546	1	1	1	0	1	2131	1	2	0	2	1	4644	1	0	1	1	1	4571	0
5	38	8192	1	1	1	0	1	4371	2	2	0	1	1	12637	2	0	1	1	1	10459	0
6	2	15382	1080	271	179	0	344	17777	213	128	0	101	309	5985	269	0	200	611	735	12097	0
6	3	5	2	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	2	0
6	4	15	6	4	2	0	2	3	1	1	0	1	2	4	1	0	1	2	1	13	0
6	5	21	4	2	2	0	2	3	1	1	0	1	2	8	1	0	2	5	1	13	0
6	6	28	8	1	1	0	2	3	1	2	0	2	2	19	3	0	1	2	2	24	0
6	7	38	8	2	1	0	1	15	1	1	0	2	2	30	3	0	1	2	6	44	0
6	8	40	6	1	5	0	3	20	1	2	0	1	1	23	2	0	2	4	2	48	0
6	9	69	13	3	2	0	1	39	1	1	0	1	3	54	3	0	1	3	2	81	0
6	10	69	9	4	3	0	3	41	2	1	0	1	3	34	4	0	1	4	10	67	0
6	11	116	9	4	2	0	1	66	2	2	0	2	7	59	5	0	2	3	7	125	0
6	12	388	21	6	6	0	3	281	4	2	0	2	3	239	12	0	2	13	28	461	0
6	13	136	7	2	3	0	1	82	2	2	0	3	3	111	4	0	1	2	8	166	0
6	14	48	2	1	1	0	1	26	1	1	0	1	1	29	4	0	1	1	1	53	0
6	15	119	3	1	1	0	1	80	1	1	0	1	1	51	3	0	1	2	4	88	0
6	16	94	2	1	1	0	2	63	1	1	0	1	1	63	1	0	1	1	1	111	0
6	17	129	1	1	1	0	1	80	2	1	0	1	1	95	1	0	1	1	3	118	0
6	18	167	3	1	1	0	2	119	1	1	0	1	1	94	1	0	1	2	1	164	0
6	19	196	4	1	1	0	1	132	1	2	0	1	1	109	1	0	1	1	6	202	0
6	20	901	3	2	1	0	2	669	2	3	0	1	2	599	2	0	1	3	14	965	0
6	21	405	1	1	1	0	1	244	1	1	0	3	2	243	1	0	1	1	1	384	0
6	22	299	2	1	1	0	1	221	1	1	0	1	1	197	2	0	1	1	2	278	0
6	23	251	2	1	1	0	2	196	1	1	0	1	1	135	1	0	1	1	2	209	0
6	24	298	1	1	1	0	1	270	1	1	0	1	1	216	2	0	1	1	2	291	0
